CO2(g/s),Velocity(km/h),Acceleration(m/s2),EngineLoad(%),EngineRPM(rpm),ThrottlePosition(Manifold)(%),TurboBoost&VacuumGauge(psi), Altitude(m)
0.317160061,31.80554581,-2.205132381,0,1449,12.15686321,-11.94428253,236.8524383
0,23.86706924,-1.327007081,21.17647171,1174,17.64705849,-9.33360291,238.1467284
0.122157767,19.08984375,-1.502893236,22.35294151,1032.5,14.11764717,-9.76871681,238.2259633
0.197855507,13.6794281,-1.934891675,22.74509811,954.75,14.11764717,-9.62367916,237.6349987
0.255633476,6.71381807,0.299085511,27.05882454,872.75,13.33333397,-9.76871681,237.5299139
0.795174183,7.79052591,-1.592728164,28.62745094,816.75,13.33333397,-9.76871681,237.6401477
0.248939615,2.05670452,-0.001315542,29.01960754,792,12.94117641,-9.62367916,237.4258115
0.208468969,2.05196857,-0.569991269,30.19607925,768.25,12.94117641,-9.76871681,236.8512701
0.151031864,0,0.721145869,30.19607925,757.25,12.94117641,-9.76871681,236.8512701
0.121669141,2.59612513,-0.721145869,31.76470566,738.25,12.94117641,-9.76871681,236.261658
0.287220576,0,0,30.58823586,753,12.94117641,-9.76871681,236.261658
0.190278219,0,0,31.37254906,737.5,12.94117641,-9.76871681,235.6690063
0.241314762,0,0,32.54901886,737,12.94117641,-9.76871681,235.6690063
0.144643383,0,0,31.37254906,745.5,12.94117641,-9.76871681,235.6690063
0.266329684,0,0,31.37254906,735.5,12.94117641,-9.76871681,235.6690063
0.237231204,0,0,30.58823586,757,12.94117641,-9.62367916,235.6690063
0.150847129,0,0,30.58823586,753.25,12.94117641,-9.76871681,235.6690063
0.160973371,0,0,30.58823586,751.5,12.94117641,-9.76871681,235.6690063
0.374911783,0,0,31.37254906,763,12.94117641,-9.76871681,235.6690063
0.270706515,0,0,30.58823586,746.75,12.94117641,-9.76871681,235.6690063
0.282458912,0,0,30.58823586,749.5,12.94117641,-9.76871681,235.6690063
0.157911276,0,0,27.45098114,779.75,13.72549057,-9.76871681,235.6690063
0.21693893,0,0,56.47058868,1462.25,17.64705849,-7.30307531,235.6690063
0.359859997,0,1.495557361,50.98039246,1357.5,18.03921509,-5.27254677,235.6690063
0.826193963,5.3840065,0.890137619,18.4313736,1279.75,13.33333397,-6.28781128,235.886012
1.129949874,8.58850193,-1.155864531,20.3921566,1212.25,13.72549057,-9.47864151,236.1215373
1.146564746,4.42738962,0.456700325,20.3921566,1094.75,14.11764717,-10.05879211,235.9155575
0.209707741,6.07151079,-0.161930322,23.13725471,971,13.72549057,-9.91375446,235.6867466
0.4141774,5.48856163,-0.381260714,27.84313774,903.25,13.72549057,-9.76871681,235.4045767
0.699062354,4.11602306,-0.59243785,26.27450943,879.5,13.33333397,-9.91375446,235.0670584
0.351375333,1.9832468,-0.550901889,30.58823586,786.75,12.94117641,-9.76871681,234.8124343
0.376306994,0,0,30.58823586,780,12.94117641,-9.76871681,234.8124343
0.271664021,0,0,31.37254906,758,12.94117641,-9.76871681,234.8088841
0.225340192,0,0,32.15686417,755.25,12.94117641,-9.62367916,234.8088841
0.349250274,0,0,31.76470566,741.75,12.94117641,-9.76871681,234.8088841
0.069624135,0,0,31.76470566,746.75,12.94117641,-9.62367916,234.8088841
0.109925819,0,0,31.37254906,761,12.94117641,-9.62367916,234.8088841
0.071254244,0,0,83.13725281,1893.75,33.33333206,-4.83743382,234.8088841
0.38580103,0,1.264449225,74.11764526,1430,21.96078491,-3.67713165,234.8088841
0.279121754,4.55201721,1.596426169,55.68627548,2080.75,21.17647171,-4.40232086,235.2965665
1.6153954,10.29915142,0.654361514,10.98039246,2314.5,18.4313736,-11.50916958,235.6545007
2.515484358,12.65485287,0.387250581,57.25490189,1627.25,21.56862831,-4.25728226,235.5595478
1.94281982,14.04895496,1.286516456,70.19608307,1905.25,23.13725471,-3.532094,234.9969779
0.95396391,18.6804142,1.535890897,45.88235474,2263,14.50980377,-3.8221693,234.5073699
1.563071933,24.20962143,0.700890222,15.68627453,2221.75,14.50980377,-11.65420723,234.7067781
2.457610915,26.73282623,0.821682614,19.6078434,1507.25,15.68627453,-8.1733017,234.7112872
0.736730999,29.69088364,0.557429525,16.47058868,1593,19.6078434,-7.73818827,234.5774144
1.023773817,31.69762993,-0.321172078,0,1607.25,12.15686321,-12.23435783,234.2322533
0.502015313,30.54141045,-0.390996933,0,1576,12.54901981,-11.94428253,233.9923344
0.285818788,29.13382149,-0.458850861,0,1278,12.54901981,-11.94428253,233.7745519
0.12468633,27.48195839,-0.407003828,16.86274529,1027.5,13.72549057,-9.47864151,233.4794771
0.161214539,26.01674461,-0.551094478,20,872.25,13.72549057,-9.76871681,232.9889017
0,24.03280449,-1.094490158,28.62745094,809,12.94117641,-9.76871681,233.3007533
0.209957527,20.09263992,-1.331578361,29.01960754,775.5,12.94117641,-9.76871681,233.4046315
0.532184673,15.29895782,-2.223865456,29.01960754,775.5,12.94117641,-9.76871681,233.7238937
0.260151068,7.29304218,-1.471334761,31.37254906,741,12.94117641,-9.76871681,233.4905416
0.276764489,1.99623704,-0.554510289,31.37254906,737.75,12.94117641,-9.76871681,233.2173979
0.192480642,0,0,31.37254906,742.25,12.94117641,-9.76871681,233.1560489
0.23529942,0,0,32.54901886,736.25,12.94117641,-9.76871681,233.1560489
0.145207147,0,0,31.37254906,749,12.94117641,-9.76871681,233.1560489
0.351907943,0,0,30.58823586,750.5,12.94117641,-9.76871681,233.1560489
0.202610286,0,0,30.58823586,763.25,12.94117641,-9.76871681,233.1560489
0.21972452,0,0,30.58823586,749.5,12.94117641,-9.76871681,233.1560489
0.184513499,0,0,31.37254906,740,12.94117641,-9.76871681,233.1560489
0.102545243,0,0,30.98039246,745,12.94117641,-9.76871681,233.1560489
0.053907852,0,0,31.37254906,744.5,12.94117641,-9.76871681,233.1560489
0.216179767,0,0,29.80392265,760,12.94117641,-9.76871681,233.1560489
0.146331205,0,0,30.19607925,754,12.94117641,-9.76871681,233.1560489
0.356959687,0,0,30.58823586,755.5,12.94117641,-9.76871681,233.1560489
0.242876471,0,0,30.98039246,750.75,12.94117641,-9.76871681,233.1560489
0.291580913,0,0,31.37254906,746,12.94117641,-9.76871681,233.1560489
0.203387607,0,0,31.76470566,739,12.94117641,-9.76871681,233.1560489
0.384506243,0,0,27.84313774,775.75,12.94117641,-9.62367916,233.1560489
0.443361721,0,0,27.05882454,773.25,12.94117641,-9.91375446,233.1560489
0.33011533,0,0,28.23529434,737.25,12.54901981,-10.05879211,233.1560489
0.232749628,0,0,30.19607925,742,12.54901981,-9.91375446,233.1560489
0.272566343,0,0,31.37254906,737,12.94117641,-9.91375446,233.1560489
0.11848964,0,0,29.01960754,760.25,12.94117641,-9.91375446,233.1560489
0.232249784,0,0,28.62745094,760.25,12.94117641,-9.91375446,233.1560489
0.253765396,0,0,30.98039246,738.75,12.94117641,-9.91375446,233.1560489
0.183227649,0,0,31.76470566,731,12.94117641,-9.76871681,233.1560489
0.391878237,0,0,30.19607925,759.5,12.94117641,-9.76871681,233.1560489
0.076218799,0,0,30.19607925,757.75,12.94117641,-9.76871681,233.1560489
0.383400221,0,0,30.98039246,754.75,12.94117641,-9.76871681,233.1560489
0.345432382,0,0,30.19607925,755.75,12.94117641,-9.76871681,233.1560489
0.242094326,0,0,30.58823586,747.5,12.94117641,-9.76871681,233.1560489
0.000599074,0,0,30.19607925,756.75,12.94117641,-9.76871681,233.1560489
0.380306523,0,0,30.98039246,746,12.94117641,-9.91375446,233.1560489
0.235071268,0,0,31.76470566,739,12.94117641,-9.91375446,233.1560489
0.206715907,0,0,30.98039246,750.75,12.94117641,-9.91375446,233.1560489
0.231606023,0,0,32.15686417,740.25,12.94117641,-9.91375446,233.1560489
0.249985218,0,0,30.19607925,760.25,12.94117641,-9.76871681,233.1560489
0.141682458,0,0,29.80392265,753,12.94117641,-9.76871681,233.1560489
0.392775988,0,0,29.80392265,759.5,12.94117641,-9.76871681,233.1560489
0.06742605,0,0,30.98039246,743.75,12.94117641,-9.91375446,233.1560489
0.371245654,0,0,31.76470566,736.75,12.94117641,-9.91375446,233.1560489
0.269455898,0,0,30.98039246,747.25,12.94117641,-9.91375446,233.1560489
0.184284878,0,0,31.76470566,746.5,12.94117641,-9.76871681,233.1560489
0.159809061,0,0,28.62745094,769.75,12.94117641,-9.76871681,233.1560489
0.255663809,0,0,27.05882454,763.25,12.94117641,-9.91375446,233.1560489
0.419070161,0,0,31.37254906,726.25,12.94117641,-9.91375446,233.1560489
0.206189311,0,0,31.76470566,733.5,12.94117641,-9.91375446,233.1560489
0.372840782,0,0,32.54901886,733,12.94117641,-9.91375446,233.1560489
0.129088758,0,0,30.98039246,748.25,12.94117641,-9.76871681,233.1560489
0.324874522,0,0,30.19607925,759.5,12.94117641,-9.76871681,233.1560489
0.153116368,0,0,30.19607925,757.25,12.94117641,-9.76871681,233.1560489
0.093293915,0,0,29.41176605,739.75,12.94117641,-9.91375446,233.1560489
0.145237891,0,0,31.76470566,736.25,12.94117641,-9.91375446,233.1560489
0.14515622,0,0,30.58823586,748.75,12.94117641,-9.91375446,233.1560489
0.105619507,0,0,31.76470566,743.25,12.94117641,-9.91375446,233.1560489
0.313442225,0,0,31.76470566,743.25,12.94117641,-9.91375446,233.1560489
0.000140837,0,0,31.76470566,754.5,12.94117641,-9.76871681,233.1560489
0.136588963,0,0,29.80392265,753.75,12.94117641,-9.76871681,233.1560489
